regime,level,threshold,alternative,statistic,auc,ci_low,ci_high
whale song,s = 0.8,0.5,lognormal,rotate_z,0.27,0.15555555555555556,0.4100277777777776
whale song,s = 0.8,0.5,lognormal,bigram_z,0.37555555555555553,0.22777777777777777,0.5233333333333333
whale song,s = 0.8,0.5,geometric,observed_mean_r2,0.30666666666666664,0.16775,0.4489166666666665
whale song,s = 0.8,0.5,geometric,shuffle_z,0.25,0.13330555555555557,0.3811111111111111
whale song,s = 0.8,0.5,geometric,rotate_z,0.1922222222222222,0.09108333333333334,0.30444444444444446
whale song,s = 0.8,0.5,geometric,bigram_z,0.2611111111111111,0.1388888888888889,0.39555555555555555
whale song,s = 0.8,0.75,uniform,observed_mean_r2,1.0,1.0,1.0
whale song,s = 0.8,0.75,uniform,shuffle_z,1.0,1.0,1.0
whale song,s = 0.8,0.75,uniform,rotate_z,0.9988888888888889,0.9933333333333333,1.0
whale song,s = 0.8,0.75,uniform,bigram_z,1.0,1.0,1.0
whale song,s = 0.8,0.75,lognormal,observed_mean_r2,0.6711111111111111,0.5188888888888888,0.8011111111111111
whale song,s = 0.8,0.75,lognormal,shuffle_z,0.49,0.33555555555555555,0.6466666666666666
whale song,s = 0.8,0.75,lognormal,rotate_z,0.3488888888888889,0.2111111111111111,0.5033333333333333
whale song,s = 0.8,0.75,lognormal,bigram_z,0.4722222222222222,0.31775,0.6189722222222218
whale song,s = 0.8,0.75,geometric,observed_mean_r2,0.9444444444444444,0.8811111111111111,0.9911111111111112
whale song,s = 0.8,0.75,geometric,shuffle_z,0.5611111111111111,0.40552777777777776,0.7066666666666667
whale song,s = 0.8,0.75,geometric,rotate_z,0.28,0.1566388888888889,0.41333333333333333
whale song,s = 0.8,0.75,geometric,bigram_z,0.6255555555555555,0.47888888888888886,0.7611111111111111
finch,,0.3,uniform,observed_mean_r2,0.8622222222222222,0.7499722222222223,0.9522222222222222
finch,,0.3,uniform,shuffle_z,0.8033333333333333,0.6833055555555556,0.9033333333333333
finch,,0.3,uniform,rotate_z,0.5966666666666667,0.4399722222222222,0.7322499999999998
finch,,0.3,uniform,bigram_z,0.16555555555555557,0.06888888888888889,0.2866666666666667
finch,,0.3,lognormal,observed_mean_r2,0.5322222222222223,0.3844444444444444,0.6822222222222222
finch,,0.3,lognormal,shuffle_z,0.6122222222222222,0.4621944444444444,0.7577777777777778
finch,,0.3,lognormal,rotate_z,0.6433333333333333,0.5010833333333333,0.7766666666666666
finch,,0.3,lognormal,bigram_z,0.43,0.28555555555555556,0.5811388888888888
finch,,0.3,geometric,observed_mean_r2,0.6455555555555555,0.4988888888888889,0.7722499999999999
finch,,0.3,geometric,shuffle_z,0.5655555555555556,0.41330555555555554,0.7100277777777776
finch,,0.3,geometric,rotate_z,0.7244444444444444,0.5877777777777777,0.8444722222222221
finch,,0.3,geometric,bigram_z,0.48444444444444446,0.34330555555555553,0.6433333333333333
finch,,0.5,uniform,observed_mean_r2,0.9855555555555555,0.9577777777777777,1.0
finch,,0.5,uniform,shuffle_z,0.4911111111111111,0.3466666666666667,0.6388888888888888
finch,,0.5,uniform,rotate_z,0.5933333333333334,0.4488611111111111,0.7389166666666666
finch,,0.5,uniform,bigram_z,0.37555555555555553,0.24,0.5188888888888888
