regime,level,change,alternative,statistic,auc,ci_low,ci_high
whale song,s = 0.8,lognormal sigma 1.5,lognormal,rotate_z,0.16666666666666666,0.06552777777777778,0.28002777777777765
whale song,s = 0.8,lognormal sigma 1.5,lognormal,bigram_z,0.3388888888888889,0.20444444444444446,0.4744722222222221
whale song,s = 0,lognormal sigma 2,lognormal,observed_mean_r2,0.03777777777777778,0.0022222222222222222,0.09666666666666666
whale song,s = 0,lognormal sigma 2,lognormal,shuffle_z,0.40444444444444444,0.25775,0.5544444444444444
whale song,s = 0,lognormal sigma 2,lognormal,rotate_z,0.08333333333333333,0.02666666666666667,0.16002777777777763
whale song,s = 0,lognormal sigma 2,lognormal,bigram_z,0.058888888888888886,0.012222222222222223,0.12447222222222207
whale song,s = 0.8,lognormal sigma 2,lognormal,observed_mean_r2,0.10555555555555556,0.035527777777777776,0.19444444444444445
whale song,s = 0.8,lognormal sigma 2,lognormal,shuffle_z,0.5,0.3477777777777778,0.6544999999999997
whale song,s = 0.8,lognormal sigma 2,lognormal,rotate_z,0.22666666666666666,0.11444444444444445,0.3500277777777776
whale song,s = 0.8,lognormal sigma 2,lognormal,bigram_z,0.43,0.29330555555555554,0.5844722222222221
whale song,s = 0,geometric tail 0.2,geometric,observed_mean_r2,1.0,1.0,1.0
whale song,s = 0,geometric tail 0.2,geometric,shuffle_z,0.8911111111111111,0.7966666666666666,0.9633333333333334
whale song,s = 0,geometric tail 0.2,geometric,rotate_z,0.95,0.8922222222222222,0.9922222222222222
whale song,s = 0,geometric tail 0.2,geometric,bigram_z,0.8744444444444445,0.7788888888888889,0.9511388888888888
whale song,s = 0.8,geometric tail 0.2,geometric,observed_mean_r2,0.7633333333333333,0.6333333333333333,0.8811388888888887
whale song,s = 0.8,geometric tail 0.2,geometric,shuffle_z,0.30777777777777776,0.18222222222222223,0.44447222222222205
whale song,s = 0.8,geometric tail 0.2,geometric,rotate_z,0.2588888888888889,0.13555555555555557,0.39111111111111113
whale song,s = 0.8,geometric tail 0.2,geometric,bigram_z,0.16,0.06333333333333334,0.2766944444444443
whale song,s = 0,geometric tail 0.01,geometric,observed_mean_r2,0.025555555555555557,0.0,0.07111111111111111
whale song,s = 0,geometric tail 0.01,geometric,shuffle_z,0.07888888888888888,0.024444444444444446,0.15333333333333332
whale song,s = 0,geometric tail 0.01,geometric,rotate_z,0.1322222222222222,0.04888888888888889,0.22777777777777777
whale song,s = 0,geometric tail 0.01,geometric,bigram_z,0.18666666666666668,0.08108333333333333,0.29672222222222194
whale song,s = 0.8,geometric tail 0.01,geometric,observed_mean_r2,0.058888888888888886,0.006666666666666667,0.1266944444444443
whale song,s = 0.8,geometric tail 0.01,geometric,shuffle_z,0.22111111111111112,0.11222222222222222,0.3466666666666667
whale song,s = 0.8,geometric tail 0.01,geometric,rotate_z,0.10333333333333333,0.034444444444444444,0.19333333333333333
whale song,s = 0.8,geometric tail 0.01,geometric,bigram_z,0.35333333333333333,0.21888888888888888,0.5022499999999999
whale song,s = 0,Zipf exponent 0.8,uniform,observed_mean_r2,0.9988888888888889,0.9933333333333333,1.0
whale song,s = 0,Zipf exponent 0.8,uniform,shuffle_z,0.9233333333333333,0.8422222222222222,0.9833333333333333
whale song,s = 0,Zipf exponent 0.8,uniform,rotate_z,0.8455555555555555,0.7433333333333333,0.9344444444444444
whale song,s = 0,Zipf exponent 0.8,uniform,bigram_z,0.6511111111111111,0.5021666666666667,0.783361111111111
whale song,s = 0,Zipf exponent 0.8,lognormal,observed_mean_r2,0.16,0.06219444444444444,0.2677777777777778
whale song,s = 0,Zipf exponent 0.8,lognormal,shuffle_z,0.27666666666666667,0.15222222222222223,0.4144999999999997
whale song,s = 0,Zipf exponent 0.8,lognormal,rotate_z,0.19333333333333333,0.09222222222222222,0.3044722222222221
whale song,s = 0,Zipf exponent 0.8,lognormal,bigram_z,0.22111111111111112,0.10777777777777778,0.35555555555555557
whale song,s = 0,Zipf exponent 0.8,geometric,observed_mean_r2,0.21333333333333335,0.09777777777777778,0.35005555555555523
whale song,s = 0,Zipf exponent 0.8,geometric,shuffle_z,0.18777777777777777,0.08438888888888889,0.3088888888888889
whale song,s = 0,Zipf exponent 0.8,geometric,rotate_z,0.24666666666666667,0.13330555555555557,0.3789166666666665
whale song,s = 0,Zipf exponent 0.8,geometric,bigram_z,0.23333333333333334,0.11886111111111111,0.36444444444444446
whale song,s = 0.8,Zipf exponent 0.8,uniform,observed_mean_r2,0.8533333333333334,0.7522222222222222,0.9388888888888889
whale song,s = 0.8,Zipf exponent 0.8,uniform,shuffle_z,0.37666666666666665,0.23775000000000002,0.5233333333333333
whale song,s = 0.8,Zipf exponent 0.8,uniform,rotate_z,0.4022222222222222,0.25552777777777774,0.5522222222222222
whale song,s = 0.8,Zipf exponent 0.8,uniform,bigram_z,0.09444444444444444,0.022194444444444447,0.19111111111111112
whale song,s = 0.8,Zipf exponent 0.8,lognormal,observed_mean_r2,0.18333333333333332,0.08772222222222222,0.3
whale song,s = 0.8,Zipf exponent 0.8,lognormal,shuffle_z,0.39111111111111113,0.2477777777777778,0.5355555555555556
whale song,s = 0.8,Zipf exponent 0.8,lognormal,rotate_z,0.2822222222222222,0.16444444444444445,0.41780555555555543
whale song,s = 0.8,Zipf exponent 0.8,lognormal,bigram_z,0.35444444444444445,0.21888888888888888,0.5
whale song,s = 0.8,Zipf exponent 0.8,geometric,observed_mean_r2,0.19555555555555557,0.09666666666666666,0.31777777777777777
whale song,s = 0.8,Zipf exponent 0.8,geometric,shuffle_z,0.27555555555555555,0.15444444444444444,0.41333333333333333
whale song,s = 0.8,Zipf exponent 0.8,geometric,rotate_z,0.21,0.10333333333333333,0.3289166666666665
whale song,s = 0.8,Zipf exponent 0.8,geometric,bigram_z,0.26555555555555554,0.14444444444444443,0.3977777777777778
whale song,s = 0,Zipf exponent 1.2,uniform,observed_mean_r2,1.0,1.0,1.0
whale song,s = 0,Zipf exponent 1.2,uniform,shuffle_z,0.9544444444444444,0.89,0.9989166666666666
whale song,s = 0,Zipf exponent 1.2,uniform,rotate_z,0.9988888888888889,0.9933333333333333,1.0
whale song,s = 0,Zipf exponent 1.2,uniform,bigram_z,0.9477777777777778,0.8810555555555555,0.9944444444444445
whale song,s = 0,Zipf exponent 1.2,lognormal,observed_mean_r2,0.8555555555555555,0.7466666666666667,0.943361111111111
whale song,s = 0,Zipf exponent 1.2,lognormal,shuffle_z,0.3244444444444444,0.18327777777777776,0.4677777777777778
whale song,s = 0,Zipf exponent 1.2,lognormal,rotate_z,0.7588888888888888,0.6255555555555555,0.8711111111111111
whale song,s = 0,Zipf exponent 1.2,lognormal,bigram_z,0.7977777777777778,0.6644166666666667,0.9
