song,stickiness,alternative,statistic,auc,ci_low,ci_high
20 renditions per cycle,0.8,lognormal,observed_mean_slope,0.8788888888888889,0.7810833333333334,0.954472222222222
20 renditions per cycle,0.8,geometric,observed_mean_r2,0.43555555555555553,0.28775,0.5822222222222222
20 renditions per cycle,0.8,geometric,shuffle_z,0.2411111111111111,0.12222222222222222,0.38
20 renditions per cycle,0.8,geometric,rotate_z,0.3244444444444444,0.19111111111111112,0.4622222222222222
20 renditions per cycle,0.8,geometric,bigram_z,0.37,0.2344166666666667,0.5111388888888887
20 renditions per cycle,0.8,geometric,observed_mean_slope,0.8966666666666666,0.8066666666666666,0.9644722222222221
80 renditions per cycle,0,uniform,observed_mean_r2,1.0,1.0,1.0
80 renditions per cycle,0,uniform,shuffle_z,0.9355555555555556,0.8654999999999999,0.9844444444444445
80 renditions per cycle,0,uniform,rotate_z,0.9911111111111112,0.9722222222222222,1.0
80 renditions per cycle,0,uniform,bigram_z,0.8855555555555555,0.79,0.9566666666666667
80 renditions per cycle,0,uniform,observed_mean_slope,0.92,0.8333055555555556,0.9844444444444445
80 renditions per cycle,0,lognormal,observed_mean_r2,0.5155555555555555,0.37330555555555556,0.6655833333333332
80 renditions per cycle,0,lognormal,shuffle_z,0.33111111111111113,0.19555555555555557,0.46555555555555556
80 renditions per cycle,0,lognormal,rotate_z,0.42444444444444446,0.2788888888888889,0.5789166666666665
80 renditions per cycle,0,lognormal,bigram_z,0.39666666666666667,0.2633333333333333,0.5355833333333332
80 renditions per cycle,0,lognormal,observed_mean_slope,0.8855555555555555,0.7921944444444445,0.963361111111111
80 renditions per cycle,0,geometric,observed_mean_r2,0.6444444444444445,0.49774999999999997,0.78
80 renditions per cycle,0,geometric,shuffle_z,0.29888888888888887,0.17555555555555555,0.4300277777777776
80 renditions per cycle,0,geometric,rotate_z,0.49333333333333335,0.3366388888888889,0.6389166666666665
80 renditions per cycle,0,geometric,bigram_z,0.49777777777777776,0.3522222222222222,0.6411666666666663
80 renditions per cycle,0,geometric,observed_mean_slope,0.9533333333333334,0.8966388888888889,0.9933333333333333
80 renditions per cycle,0.8,uniform,observed_mean_r2,0.9588888888888889,0.9077777777777778,0.9922222222222222
80 renditions per cycle,0.8,uniform,shuffle_z,0.5266666666666666,0.37219444444444444,0.6755555555555556
80 renditions per cycle,0.8,uniform,rotate_z,0.41555555555555557,0.27111111111111114,0.564472222222222
80 renditions per cycle,0.8,uniform,bigram_z,0.08777777777777777,0.029972222222222223,0.16224999999999984
80 renditions per cycle,0.8,uniform,observed_mean_slope,0.5166666666666667,0.3688611111111111,0.6544722222222221
80 renditions per cycle,0.8,lognormal,observed_mean_r2,0.4033333333333333,0.24888888888888888,0.5455833333333332
80 renditions per cycle,0.8,lognormal,shuffle_z,0.3622222222222222,0.2288888888888889,0.5078055555555554
80 renditions per cycle,0.8,lognormal,rotate_z,0.3022222222222222,0.17777777777777778,0.44555555555555554
80 renditions per cycle,0.8,lognormal,bigram_z,0.42333333333333334,0.2866666666666667,0.5755833333333332
80 renditions per cycle,0.8,lognormal,observed_mean_slope,0.6633333333333333,0.516638888888889,0.7955555555555556
80 renditions per cycle,0.8,geometric,observed_mean_r2,0.2822222222222222,0.16330555555555556,0.42333333333333334
80 renditions per cycle,0.8,geometric,shuffle_z,0.27666666666666667,0.15441666666666667,0.4077777777777778
80 renditions per cycle,0.8,geometric,rotate_z,0.12444444444444444,0.04666666666666667,0.2222222222222222
80 renditions per cycle,0.8,geometric,bigram_z,0.22555555555555556,0.11555555555555555,0.3522222222222222
80 renditions per cycle,0.8,geometric,observed_mean_slope,0.6588888888888889,0.5133333333333333,0.7944444444444444
