regime,law,stickiness,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
song,lognormal,0.8,4,6,2016,discovered,1.0,1.0,0.05,88,0.9384357505381472,5,1.7204208670326568,51,0.5795454545454546,0.83,0.0,-0.8637888905258579,-0.9037483096406231,0.3661288763636469,False,-1.4559252895594228,2.6720030701022677,4.0198841588789946e-08,
song,lognormal,0.8,4,6,2016,true,1.0,1.0,0.05,23,0.8431415806547955,22,1.8057519111295741,21,0.9130434782608695,0.0,0.0,-3.104003365665663,-1.4639490902160097,0.14320785897324814,False,4.027219526178572,0.968776281717209,1.5347723092418164e-12,
song,lognormal,0.8,4,7,2017,discovered,1.0,1.0,0.05,147,0.9632545115821398,3,1.684144163026312,85,0.5782312925170068,0.06,0.0,-1.9465392025115003,-1.325871763323233,0.18488217737623613,False,-1.4364460321634769,2.5746100799256117,1.5565433386655059e-09,
song,lognormal,0.8,4,7,2017,true,1.0,1.0,0.05,24,0.7731013522304946,112,3.118069834016778,11,0.4583333333333333,0.3,0.0,-0.5170384542278592,-0.721333837799246,0.47070414272796124,False,4.700604764505201,0.5979159934084659,1.425348727934761e-11,
song,lognormal,0.8,5,0,2010,discovered,1.0,1.0,0.05,56,0.9436281569658463,6,2.7212336837428843,15,0.26785714285714285,0.68,0.0,0.00603698256641394,0.09277998427875742,0.9260783526430432,False,-80907.08943000632,211.28052408906527,1.2492839232436381e-05,
song,lognormal,0.8,5,0,2010,true,1.0,1.0,0.05,23,0.8747407774016326,8,2.351198514505237,12,0.5217391304347826,0.87,0.0,-0.13350054065399242,-0.3644095969086047,0.7155521701421788,False,-0.16585282199399243,1.5821479073371914,1.0031442343461094e-10,
song,lognormal,0.8,5,1,2011,discovered,1.0,1.0,0.05,81,0.9487097615717602,1,1.9463504164522678,81,1.0,0.96,0.0,-0.09622916434812345,-0.12117801250884354,0.9035500392410363,False,-190316.20641385758,400.81849600085343,0.0001375820511384518,
song,lognormal,0.8,5,1,2011,true,1.0,1.0,0.05,22,0.8980464956878541,5,1.7902456629759516,21,0.9545454545454546,0.25,0.0,-0.8316012905093522,-0.7888542134145674,0.43019721914594833,False,1.1421536805324575,1.7101048098690101,1.2647660696529783e-12,
song,lognormal,0.8,5,2,2012,discovered,1.0,1.0,0.05,111,0.9106428156956968,1,1.782554117553661,111,1.0,0.19,0.0,-2.7572640072375396,-1.3882523869981207,0.16506020513156217,False,-2.5300736114094393,2.1169845815883654,1.6310650607920252e-09,
song,lognormal,0.8,5,2,2012,true,1.0,1.0,0.05,22,0.8107825889428861,15,2.2762697774564797,15,0.6818181818181818,0.52,0.0,0.0128479472854508,0.4677645967265092,0.6399529408311104,False,-100897.8267738207,278.62822080417277,6.624885918427026e-05,
song,lognormal,0.8,5,3,2013,discovered,1.0,1.0,0.05,77,0.9362859076925336,2,1.712177068561263,56,0.7272727272727273,0.05,0.0,-3.1620499164922578,-1.5250317659283734,0.12725117468750413,False,0.4595643915000017,1.6765180058982279,4.590106073010247e-11,
song,lognormal,0.8,5,3,2013,true,1.0,1.0,0.05,22,0.7344156941720934,13,2.128810113732225,16,0.7272727272727273,0.56,0.0,-0.5219355809228805,-0.639995516295071,0.522175514356457,False,2.071374181745744,1.2876497604682289,1.3443468560581096e-11,
song,lognormal,0.8,5,4,2014,discovered,1.0,1.0,0.05,128,0.9619221735953526,2,1.765204820357135,79,0.6171875,0.13,0.0,-0.7802423065651416,-0.6314169152684476,0.5277679587622958,False,-4.775152123323537,2.9771919346468865,2.568239665379224e-08,
song,lognormal,0.8,5,4,2014,true,1.0,1.0,0.05,24,0.9179406269288097,30,2.3056493558216724,16,0.6666666666666666,0.69,0.0,-0.4253419790203026,-0.5846362913533804,0.5587922999885215,False,2.741653930911524,1.2062076719375938,8.839151632855646e-12,
song,lognormal,0.8,5,5,2015,discovered,1.0,1.0,0.05,160,0.9378818965757485,3,1.804558788071917,90,0.5625,0.01,0.0,-0.9923023283615657,-0.79157584924256,0.4286080334558332,False,-2.8643780711440363,2.6309112489185305,6.455707080021966e-09,
song,lognormal,0.8,5,5,2015,true,1.0,1.0,0.05,24,0.8273179257595253,52,2.356608869697729,15,0.625,0.38,0.0,-0.0003381986724946273,-0.033071220729964886,0.9736177927217791,False,-48605.72441937508,188.776243980217,2.9746842301392462e-05,
song,lognormal,0.8,5,6,2016,discovered,1.0,1.0,0.05,121,0.9402610077627414,2,1.6258877864509913,88,0.7272727272727273,0.01,0.0,-4.25612557776115,-1.9010671239663166,0.05729322111407185,False,0.008904485617852662,2.08633820204233,4.793776042788522e-09,
song,lognormal,0.8,5,6,2016,true,1.0,1.0,0.05,24,0.8567780877577004,30,2.1637327399903112,20,0.8333333333333334,0.76,0.0,-0.2092672219122651,-0.4444925658000992,0.6566865025264332,False,0.7924268041757083,1.8713330068088123,1.1373586517038348e-08,
song,lognormal,0.8,5,7,2017,discovered,1.0,1.0,0.05,144,0.9515149243161546,1,1.5557268322285953,144,1.0,0.07,0.0,-4.224506985350899,-1.6550965016502979,0.09790492441184147,False,-3.677834358022051,3.0589370948701333,6.198092705744784e-09,
song,lognormal,0.8,5,7,2017,true,1.0,1.0,0.05,24,0.8545678993289646,23,1.888677499196435,20,0.8333333333333334,0.14,0.0,-1.667477589110296,-1.21622734034303,0.223898331465902,False,3.6402171913888886,1.1315521381299187,2.5124791136477143e-11,
song,lognormal,0.8,6,0,2010,discovered,1.0,1.0,0.05,59,0.9248077819156464,1,2.06325418264725,59,1.0,0.84,0.0,-0.027600951877740254,-0.05068571180205938,0.9595759623446921,False,-360.7401917914204,16.454493454203032,0.00010187676545569957,
song,lognormal,0.8,6,0,2010,true,1.0,1.0,0.05,20,0.8522923390258333,4,1.8442572019749814,18,0.9,0.02,0.0,-1.124095880661859,-0.8097443518439593,0.418087121612726,False,1.551597473496881,1.319436533156158,3.922195901395753e-11,
song,lognormal,0.8,6,1,2011,discovered,1.0,1.0,0.05,75,0.9287676700410511,1,1.7964583589521281,75,1.0,0.07,0.0,-0.8142653872911969,-0.6237021058178993,0.532823239873267,False,-6.040807496815253,2.8312815337363832,1.3108092389302328e-10,
song,lognormal,0.8,6,1,2011,true,1.0,1.0,0.05,20,0.760765150339795,12,2.1803351957969506,13,0.65,0.08,0.0,-0.9976173784950779,-0.7560590676747075,0.44961378188508727,False,2.803540568778015,0.874734657190994,5.8264504332328215e-12,
song,lognormal,0.8,6,2,2012,discovered,1.0,1.0,0.05,91,0.9347982558541117,2,1.7044037100635405,62,0.6813186813186813,0.06,0.0,-2.6142704240983647,-1.4183707030913002,0.1560825643508378,False,-0.09111498199054033,1.9107956893629812,1.5211298887152225e-10,
song,lognormal,0.8,6,2,2012,true,1.0,1.0,0.05,24,0.8294600136880936,5,1.6092203085180425,21,0.875,0.06,0.0,-2.2928075909372243,-1.2379352776176213,0.21574006034572057,False,2.532990952238894,1.4641458483308507,1.0757617019407917e-11,
song,lognormal,0.8,6,3,2013,discovered,1.0,1.0,0.05,84,0.8881334287139494,1,1.5613383802922267,84,1.0,0.0,0.0,-8.961770238569017,-2.702677507067333,0.006878344645952068,False,0.49081234797341133,1.5945728025673815,2.0463630789890885e-12,
song,lognormal,0.8,6,3,2013,true,1.0,1.0,0.05,23,0.8224712899517633,23,3.2982123799390073,16,0.6956521739130435,0.56,0.0,-0.1706006272445224,-0.3911477336959055,0.6956880391886648,False,1.8485768760754002,0.9357199229347188,3.1512570330960443e-11,
song,lognormal,0.8,6,4,2014,discovered,1.0,1.0,0.05,97,0.9787649523370939,3,1.7733333696675047,48,0.4948453608247423,0.92,0.0,-0.2758446884805761,-0.40610977167780593,0.6846619462106864,False,-7.349425742553578,3.576721709682821,1.2447571862139739e-08,
song,lognormal,0.8,6,4,2014,true,1.0,1.0,0.05,22,0.9308465404805538,13,1.74261001966029,18,0.8181818181818182,0.6,0.0,-0.4194825060516414,-0.5746629689364655,0.565519256528045,False,1.0636107383841975,2.2205038057326654,2.1081802970002173e-09,
song,lognormal,0.8,6,5,2015,discovered,1.0,1.0,0.05,155,0.8939857561809432,4,1.6394350335002918,91,0.5870967741935483,0.0,0.0,-6.1312104454285965,-2.308077813372781,0.020994808946548,False,1.652112799513346,1.7313348074062769,9.094947017729282e-12,
song,lognormal,0.8,6,5,2015,true,1.0,1.0,0.05,24,0.8275951953743711,84,2.498864934406323,15,0.625,0.61,0.0,-0.18887790731397747,-0.43003861895682466,0.6671675489445164,False,2.8029701424778466,1.3613274847318098,5.799876134915394e-10,
song,lognormal,0.8,6,6,2016,discovered,1.0,1.0,0.05,110,0.8887368977105763,1,1.444333710861632,110,1.0,0.0,0.0,-8.685509892847461,-2.5546700249567924,0.010628850543176803,False,-0.04685270743546677,2.3969543587357705,1.4879333321005106e-09,
song,lognormal,0.8,6,6,2016,true,1.0,1.0,0.05,24,0.8255633466317943,53,2.7766643826543653,19,0.7916666666666666,0.29,0.0,-0.10515636717480614,-0.32069610137776255,0.7484407020204888,False,0.9415352778330557,1.5047636874237273,2.1671553440683056e-11,
song,lognormal,0.8,6,7,2017,discovered,1.0,1.0,0.05,136,0.9544749160085663,3,1.6979515859110945,84,0.6176470588235294,0.3,0.0,-1.7674275122090912,-1.1831226721507035,0.23676053363990035,False,-1.579191432310418,2.5756770804427274,8.477400115225464e-09,
song,lognormal,0.8,6,7,2017,true,1.0,1.0,0.05,24,0.8148082046794537,64,2.177703188323782,14,0.5833333333333334,0.15,0.0,-1.2129762327223554,-0.8979993380295584,0.3691859023797145,False,4.575026023772821,0.8392458334912825,4.374101081339177e-11,
song,lognormal,0.8,7,0,2010,discovered,1.0,1.0,0.05,59,0.9163358284403609,6,2.983267164850035,13,0.22033898305084745,0.79,0.0,-0.2763994355763699,-0.4773563398937825,0.6331083983711475,False,1.105496940803519,0.8457690447550699,1.7145396213891217e-11,
song,lognormal,0.8,7,0,2010,true,1.0,1.0,0.05,22,0.8273990369265182,5,2.2590875597372286,18,0.8181818181818182,0.72,0.0,-0.23515530542102248,-0.48126523417402073,0.6303280025954854,False,-0.739171393745,1.6606858391656605,3.4282976457689074e-10,
song,lognormal,0.8,7,1,2011,discovered,1.0,1.0,0.05,78,0.911276783210783,1,1.7036276033048616,78,1.0,0.03,0.0,0.4814148967006877,0.5015494608646638,0.6159844775122265,False,-35.99952730577965,6.6658020412948185,2.1592055361452367e-06,
song,lognormal,0.8,7,1,2011,true,1.0,1.0,0.05,23,0.7120792547783152,9,2.0338217456181953,18,0.782608695652174,0.03,0.0,-1.8643343443958726,-1.0821029803389426,0.27920677166764885,False,2.7411901259934064,0.8773108218287149,8.995471034722868e-12,
song,lognormal,0.8,7,2,2012,discovered,1.0,1.0,0.05,86,0.8850322047694004,1,1.5560395144299155,86,1.0,0.0,0.0,-4.473490502621731,-1.6449884014300586,0.09997220297696925,False,-0.7857724400736791,2.18903678633756,4.0955683289212175e-11,
song,lognormal,0.8,7,2,2012,true,1.0,1.0,0.05,21,0.9164771456563954,37,3.057003165109136,11,0.5238095238095238,0.79,0.0,0.0031154179930847903,0.3332793435667525,0.7389234303949365,False,-83830.26721515795,200.9847855554056,4.278480446373578e-05,
song,lognormal,0.8,7,3,2013,discovered,1.0,1.0,0.05,99,0.9700843659374597,2,2.0817915301770094,53,0.5353535353535354,0.99,0.0,0.1387315889530334,0.3666127481656284,0.713907897722126,False,-215563.0035512032,419.06375463278624,7.810121587681351e-05,
song,lognormal,0.8,7,3,2013,true,1.0,1.0,0.05,23,0.8675148943767992,8,1.9033941309248825,19,0.8260869565217391,0.38,0.0,-0.8916327035646412,-0.8205798285774465,0.4118856413054014,False,1.9547338704558523,1.3998543514998083,3.942091097997036e-11,
song,lognormal,0.8,7,4,2014,discovered,1.0,1.0,0.05,130,0.952724728838331,2,1.7673584451266622,82,0.6307692307692307,0.1,0.0,-0.6272443959259193,-0.5261261713003934,0.5988005458976622,False,-5.117138292146561,3.0406477443473423,5.980132300464902e-08,
