law,brevity,mean_repeats,dataset,condition,loglog_r2,loglog_r2_undefined_years,loglog_slope,loglog_slope_undefined_years,brevity_r2,brevity_r2_undefined_years,brevity_slope,brevity_slope_undefined_years,csn_alpha,csn_alpha_undefined_years,boundary_f1,boundary_f1_undefined_years
zipf,True,1.0,3,clean,0.9439534070045449,0,-0.942464308247704,0,0.19367832440170454,0,-0.8836222380273868,0,2.0311755805041,0,0.7784619286930706,0
zipf,True,1.0,3,confuse_6.7,0.8688331830706048,0,-0.7005550339875233,0,0.12218449753878374,0,-0.8801237113660176,0,2.2846155130930366,0,0.7072744082296526,0
zipf,True,1.0,3,confuse_19.19,0.7650964701521399,0,-0.4913958059292245,0,0.11437206831455743,0,-1.1671587199904634,0,2.5878924613486873,0,0.5865203345159467,0
zipf,True,1.0,3,oversplit_25,0.9256589509207587,0,-0.8215729013135562,0,0.17615719345518122,0,-0.9158278158809419,0,2.120128140435095,0,0.7484170835257709,0
zipf,True,1.0,3,undersplit_25,0.9389059535462039,0,-0.9015065100869241,0,0.19256376777416412,0,-0.9080394519806207,0,2.0613680806918544,0,0.746678478612774,0
zipf,True,1.0,4,clean,0.9383458486535432,0,-0.9335418436245067,0,0.20513060448439374,0,-0.9509127741411831,0,2.0715660441526738,0,0.782380070364361,0
zipf,True,1.0,4,confuse_6.7,0.8573220909804866,0,-0.6783617312551802,0,0.12233399067934717,0,-0.9260375564651193,0,2.3804676388925525,0,0.6995078739202413,0
zipf,True,1.0,4,confuse_19.19,0.7581291924149374,0,-0.4693934942872695,0,0.10409295249629931,0,-1.162282622003815,0,2.759832251683067,0,0.580983507287815,0
zipf,True,1.0,4,oversplit_25,0.9184271549347014,0,-0.8168158195690999,0,0.18271772948814208,0,-0.9583796835001392,0,2.143372669619339,0,0.7533244398934937,0
zipf,True,1.0,4,undersplit_25,0.9354282545715822,0,-0.9067624036446207,0,0.21170869554907373,0,-0.948988675227511,0,2.071129932699972,0,0.7529877033113623,0
zipf,True,1.0,5,clean,0.9441787751483752,0,-0.9592377562070299,0,0.20178254618151367,0,-0.905527142197113,0,1.9632166828293427,0,0.803089110149207,0
zipf,True,1.0,5,confuse_6.7,0.8601253229867478,0,-0.6947801945408134,0,0.11697900895311979,0,-0.8635096292323019,0,2.2799854255258105,0,0.7147161813327058,0
zipf,True,1.0,5,confuse_19.19,0.7535385894656716,0,-0.47822036188314104,0,0.10897898615038143,0,-1.1429406869786052,0,2.5992877623824384,0,0.5906433847370838,0
zipf,True,1.0,5,oversplit_25,0.9146043096280205,0,-0.8131670696411157,0,0.18333595432645636,0,-0.9402780286298265,0,2.171417779516033,0,0.7728992476269043,0
zipf,True,1.0,5,undersplit_25,0.9399390277566642,0,-0.935605881293317,0,0.20312301334578436,0,-0.9129653523294035,0,2.0391673442647447,0,0.7683080199548935,0
zipf,True,1.0,6,clean,0.9465619628588721,0,-0.959634829737999,0,0.22042374636303846,0,-0.9886794964039923,0,2.0326297712465626,0,0.7855382076231792,0
zipf,True,1.0,6,confuse_6.7,0.8704320771200085,0,-0.7032616463319936,0,0.1320108897643461,0,-0.9548141576431883,0,2.305743569021101,0,0.7004994665948634,0
zipf,True,1.0,6,confuse_19.19,0.7578171222736159,0,-0.47156732576945803,0,0.1141316257284892,0,-1.2654475395948237,0,2.5275007458672603,0,0.5794012069564964,0
zipf,True,1.0,6,oversplit_25,0.9271135330000388,0,-0.8342991953053744,0,0.20638036528018366,0,-0.9973265616971979,0,2.1186008204127873,0,0.7666036647052905,0
zipf,True,1.0,6,undersplit_25,0.9390824438060619,0,-0.9112874414564487,0,0.21184516553887123,0,-0.9636750478028824,0,2.043766851879088,0,0.7470021427335162,0
zipf,True,1.0,7,clean,0.9496741886884451,0,-0.9849008446630324,0,0.2132322440340512,0,-0.9086968025030848,0,2.0064624980765027,0,0.7981553547165711,0
zipf,True,1.0,7,confuse_6.7,0.877124859415938,0,-0.7156083633602268,0,0.11380979030677987,0,-0.8353751148669071,0,2.278402986068432,0,0.7169847489812065,0
zipf,True,1.0,7,confuse_19.19,0.7669341361492827,0,-0.4820261129722705,0,0.10939271851784187,0,-1.1762216947870667,0,2.580425171566187,0,0.5928892428841093,0
zipf,True,1.0,7,oversplit_25,0.9348626623145546,0,-0.8692153018680326,0,0.19063636563377806,0,-0.8971517148859234,0,2.1045263054613583,0,0.7780963117827386,0
zipf,True,1.0,7,undersplit_25,0.9408827834066198,0,-0.9207744089442417,0,0.22311677914507821,0,-0.9749520303420001,0,1.986352838355041,0,0.7487478352792132,0
