law,mean_repeats,dataset,year,source,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
geometric,1.0,28,2013,true,94,0.7913376090348794,8,2.8515494734390208,34,0.3617021276595745,0.14,0,-3.1943159584715994,-1.6914489507652055,0.09075108988546131,False,2.3515845500519963,0.5037882861994752,1.2789769243681803e-13,
geometric,1.0,28,2014,discovered,343,0.8881677539992915,1,1.778338406011642,343,1.0,0.0,0,3.9882486714527072,2.612386052807835,0.008991265939689875,False,-351239.46867556334,605.4365710373021,0.0008416487680733553,
geometric,1.0,28,2014,true,99,0.733634613480653,36,9.536735837195074,10,0.10101010101010101,0.88,0,-0.42592787530156495,-0.6218766961932466,0.5340229496287151,False,3.568049082928832,0.15209718585696855,1.3500311979441904e-13,
geometric,1.0,28,2015,discovered,581,0.8947971405588779,1,1.8733140881780468,581,1.0,0.0,0,15.992832905212552,8.116788917572492,4.786802823641436e-16,True,-1000000.0,966.9403243277867,0.0023698720642642,
geometric,1.0,28,2015,true,100,0.753912082255819,46,3.7466408901983983,31,0.31,0.14,0,-2.753857581104903,-1.4990016705407372,0.1338731986817345,False,4.0124728895585235,0.35464767838283084,0.0,
geometric,1.0,28,2016,discovered,470,0.9050674995638069,1,1.9107213720099212,470,1.0,0.0,0,8.581991186282728,4.9834592694481294,6.245746582408822e-07,False,-951607.7292257472,918.2747725192373,0.005290129392051313,
geometric,1.0,28,2016,true,100,0.8015129433145853,34,3.907622429152821,25,0.25,0.04,0,-2.3509459232143035,-1.3840784602493306,0.1663344315763452,False,3.711488705318782,0.3261740199134811,1.453770437365165e-11,
geometric,1.0,28,2017,discovered,493,0.9054064985761109,1,1.884826059413973,493,1.0,0.0,0,9.357012948454217,5.305678151005567,1.1225487204668635e-07,False,-793053.304415802,851.2412762779937,0.005361882722354494,
geometric,1.0,28,2017,true,100,0.7458167766192167,53,7.682129006858292,13,0.13,0.83,0,-0.6414216997897175,-0.7767713532081458,0.43729368080259823,False,3.973208413312312,0.18477207120367486,2.1316282072803006e-14,
geometric,1.0,29,2010,discovered,161,0.877191409915917,1,2.2735987910705124,161,1.0,0.04,0,-1.622303243228103,-1.181304668454352,0.23748171340157576,False,-3.5525085255596895,1.715663079335675,3.0524915928253904e-11,
geometric,1.0,29,2010,true,77,0.8635675467726046,2,2.077413133372042,55,0.7142857142857143,0.01,0,-6.125685059851454,-2.16037671058273,0.030743518865367348,False,1.1590441083629248,0.7699826722701655,2.1316282072803006e-13,
geometric,1.0,29,2011,discovered,232,0.8902929364105769,1,2.0898086281605304,232,1.0,0.07,0,-1.8568739591136598,-1.1279345478904463,0.25934756213389254,False,-5.933634850488159,2.3101453661881166,6.397726792783942e-10,
geometric,1.0,29,2011,true,94,0.8157710390088309,3,2.048707711553889,61,0.648936170212766,0.0,0,-8.511340966737599,-2.5274046274796227,0.011490902894071432,False,1.7137386356747168,0.7328188548680151,7.105427357601002e-13,
geometric,1.0,29,2012,discovered,287,0.8983929165568749,1,1.9848174297470553,287,1.0,0.0,0,1.5782618566083793,1.3724910280173441,0.16991063000605466,False,-339012.9459612658,524.4976743555153,0.00044191584129293915,
geometric,1.0,29,2012,true,97,0.7793014687417691,6,2.2077217833391534,52,0.5360824742268041,0.0,0,-8.240554036580637,-2.563591898044784,0.010359527219723054,False,2.404655678447652,0.6117531644195796,8.526512829121202e-14,
geometric,1.0,29,2013,discovered,234,0.8792525503431382,1,1.8909900095864276,234,1.0,0.0,0,-1.7554448974123176,-0.8758412963524635,0.38111631644763866,False,-6.352386050372229,2.68953778836475,2.4497239792253822e-09,
geometric,1.0,29,2013,true,93,0.7344517206217691,10,3.8162281220913425,27,0.2903225806451613,0.39,0,-1.7117970486985574,-1.2073889664943538,0.22728238268667778,False,2.386033605416478,0.3891653026578634,8.526512829121202e-13,
geometric,1.0,29,2014,discovered,396,0.8861809183948234,1,1.9416020336381132,396,1.0,0.0,0,4.922594135080262,3.5445658791186134,0.00039326021406299805,False,-610530.4795618155,721.7250212787801,0.0021383007433541934,
geometric,1.0,29,2014,true,99,0.7358303358418617,22,3.90288079054944,25,0.25252525252525254,0.18,0,-3.2514807204630514,-1.720408478606476,0.08535821688921627,False,3.333060139994975,0.2818494357394728,1.1084466677857563e-12,
geometric,1.0,29,2015,discovered,698,0.8998079003931102,1,1.9406441732518065,698,1.0,0.0,0,16.09238372057871,7.35626630089141,1.891255379164896e-13,False,-707815.125417369,779.5460059540537,0.0,
geometric,1.0,29,2015,true,100,0.738539037832154,26,2.518078499469843,53,0.53,0.0,0,-5.338905241860829,-1.9840257658152838,0.04725296765856854,False,3.635700727502262,0.6079867327371161,3.979039320256561e-12,
geometric,1.0,29,2016,discovered,483,0.9095311238117071,1,1.8909226963917456,483,1.0,0.0,0,8.216376682246697,4.710910364819909,2.466126909747776e-06,False,-812614.347646859,858.1728998555187,0.004528773760284821,
geometric,1.0,29,2016,true,100,0.7586374639059796,48,9.134478971017128,14,0.14,0.48,0,-1.2005524915765964,-1.1207549632788358,0.26239217933041536,False,3.9314553378723303,0.12093305544154158,1.2789769243681803e-13,
geometric,1.0,29,2017,discovered,472,0.8844847781959726,1,1.8758057643143948,472,1.0,0.0,0,11.780280630854403,7.115875509878794,1.112046368572684e-12,False,-701542.322510094,805.9605688976108,0.0064388213941128924,
geometric,1.0,29,2017,true,100,0.7716128683742187,55,7.282160729008772,13,0.13,0.51,0,-0.6698703381347397,-0.7827324277715579,0.4337842553957729,False,4.017433769817382,0.19333297097113022,1.1532108601386426e-11,
geometric,5.0,0,2010,discovered,77,0.8790438717554722,1,2.07682704549231,77,1.0,0.01,0,-0.7908805724508667,-0.7459369202337833,0.45570552113235774,False,-4.241433293310504,2.0376137917624466,3.9482017655245727e-10,
geometric,5.0,0,2010,true,40,0.8286823376367412,5,2.7488704320856905,23,0.575,0.64,0,-0.08080283803863342,-0.24373456938943536,0.8074363981129024,False,-3.8472799885871733,1.8636052225185307,2.2957706846682413e-09,
geometric,5.0,0,2011,discovered,129,0.8672963376615499,1,2.036453778057017,129,1.0,0.0,0,0.4316447463539683,0.6114237792547518,0.5409190641516498,False,-209.60853345018722,12.739143996930235,0.000707979511787471,
geometric,5.0,0,2011,true,58,0.7089330848626787,12,3.8580443093725645,23,0.39655172413793105,0.63,0,-0.32746001027120686,-0.5858836780830634,0.5579536864275865,False,1.7160799715221684,0.6792165322690612,5.5919713304319885e-12,
geometric,5.0,0,2012,discovered,150,0.8998049973035277,1,1.7942750566722856,150,1.0,0.02,0,-0.3456993152369048,-0.24059894119066175,0.8098659708885819,False,-12.930722497042936,3.8902495729765842,4.7285766413551755e-09,
geometric,5.0,0,2012,true,65,0.7724240055386681,14,3.0252897584769602,26,0.4,0.24,0,-1.4925317832768314,-1.098987555929907,0.27177349383677374,False,2.70575145903403,0.5723474247816882,3.552713678800501e-13,
geometric,5.0,0,2013,discovered,143,0.9358426489482311,1,1.9919831590900658,143,1.0,0.08,0,-1.8937534523505857,-1.1506374124208658,0.24988143481879566,False,-4.604516977601257,2.213238092940532,5.385999202189851e-09,
geometric,5.0,0,2013,true,64,0.8510980547915593,12,2.9435841983894875,21,0.328125,0.43,0,-0.42316901338458024,-0.6539911936189933,0.5131174792499346,False,1.751802958515438,0.8901304188814556,8.901679393602535e-11,
geometric,5.0,0,2014,discovered,222,0.9206781209856753,1,1.7298616435069007,222,1.0,0.1,0,1.6072349646678035,1.2035095281007728,0.22877920647228434,False,-87903.64595356122,313.23223448724667,6.778821807529312e-05,
geometric,5.0,0,2014,true,75,0.7428139915094127,26,3.58747604240621,23,0.30666666666666664,0.81,0,-0.6459192951172525,-0.7672306469308864,0.4429443945206769,False,2.9685025822464794,0.5917856318888153,8.43698444441543e-11,
geometric,5.0,0,2015,discovered,415,0.9369583211782583,1,1.8419427148363303,415,1.0,0.01,0,5.91992123654385,3.2602147067181666,0.0011132790368794136,False,-668076.649548248,801.3463257563814,0.003776652033593564,
geometric,5.0,0,2015,true,95,0.666224770965759,81,6.622248802403852,14,0.14736842105263157,0.04,0,-0.6245748200043693,-0.6147565274343827,0.5387155226638642,False,4.377892139294879,0.2291435765864215,5.7340798775840085e-11,
geometric,5.0,0,2016,discovered,327,0.9112112715429472,1,2.0829683740889102,327,1.0,0.0,0,5.241279197312519,3.616701339466991,0.0002983812437944834,False,-926446.513006196,827.2767093056191,0.0038889621655471274,
geometric,5.0,0,2016,true,91,0.7209264783249975,29,2.842183408068928,33,0.3626373626373626,0.02,0,-3.2911723561266335,-1.4922878514534805,0.1356237001454226,False,3.676515146352541,0.5027977680076274,6.494360604847316e-11,
geometric,5.0,0,2017,discovered,327,0.9177116266492472,1,1.8513914074962698,327,1.0,0.0,0,5.6410511464764,3.796622859684128,0.00014668068260401565,False,-571861.7878842868,737.4226041741919,0.0029291134260347462,
geometric,5.0,0,2017,true,89,0.6657613120841016,34,3.8507266596633545,32,0.3595505617977528,0.88,0,-0.3200351540541604,-0.48810901968441534,0.6254726226149703,False,2.4180726274807016,0.7730793550751456,6.318146006378811e-11,
geometric,5.0,1,2010,discovered,58,0.7921902551284928,1,2.4833017792743495,58,1.0,0.11,0,0.7046600760923367,2.1039428621859915,0.0353834314788233,False,-639426.0407586645,585.0114661998258,0.0004720755187008763,
geometric,5.0,1,2010,true,35,0.891692286979914,1,1.5501645164970457,35,1.0,0.0,0,-4.0518058181731735,-1.6071267681347736,0.1080265623810668,False,0.6553775856356407,1.542389822672798,7.30437932361383e-12,
geometric,5.0,1,2011,discovered,130,0.9135837800160832,1,2.0826155235631565,130,1.0,0.21,0,-0.9326015934825751,-0.812538247927374,0.4164828489258313,False,-8.513023950445735,2.6987339780417776,6.698400056848186e-09,
geometric,5.0,1,2011,true,63,0.8462370129581316,8,2.8918952859535416,26,0.4126984126984127,0.94,0,-0.2484417593259356,-0.5601061488441779,0.5754070366175432,False,0.17117210486912293,1.1951675031875115,2.418829581074533e-10,
geometric,5.0,1,2012,discovered,169,0.8996162859916166,1,1.919797102301611,169,1.0,0.01,0,0.5716117681680037,0.5412694552133408,0.5883218706458486,False,-65.36989308010939,7.646603797279859,0.00041106052253780945,
geometric,5.0,1,2012,true,65,0.7527718278001347,12,3.0260004395433153,28,0.4307692307692308,0.24,0,-1.5354709869081136,-1.09855749276882,0.27196112726376753,False,2.5284095981354766,0.5810468381012079,1.8900436771218665e-12,
geometric,5.0,1,2013,discovered,139,0.9339534603401441,1,1.874854554692213,139,1.0,0.0,0,-1.227583256128419,-0.7504786984665748,0.45296644845928347,False,-7.50611633120127,2.909103290009386,2.6381030693301e-10,
