regime,undefined_policy,law,mean_repeats,dataset,threshold,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
finch,zero,uniform,1.0,12,0.5,0.815265015778744,0,-0.5847746579372022,61.266666666666666,0.564510346762808,9.656666666666666,13182,30,0.43669566829587786,0.024966981730811456,15.162799875632471,0.004975124378109453,0.06016666666666667,0,0.6543191774768948,0.011897667533538443,13.527511829369704,0.004975124378109453,0.0023333333333333335,0,0.7233203396972447,0.01581605358421498,5.813376617114115,0.004975124378109453,0.00016666666666666666,0
finch,zero,uniform,1.0,13,0.5,0.8548722375855742,0,-0.6563867337974243,60.63333333333333,0.6638168911852179,10.586666666666666,12178,30,0.4032683575952891,0.02732412975978596,16.527658299110005,0.004975124378109453,0.09216666666666666,0,0.7125300334503322,0.009029115064677051,15.764801214252024,0.004975124378109453,0.0,0,0.7788060604515156,0.013071211697164097,5.819366933714475,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,14,0.5,0.7983658313990944,0,-0.542857603698866,63.06666666666667,0.5614552126030875,9.35,11951,30,0.445155786416691,0.026067964763943793,13.549582722735225,0.004975124378109453,0.09566666666666666,0,0.670986182136552,0.011082297295328768,11.49397510895448,0.004975124378109453,0.0005,0,0.7542537225169028,0.01579878767351637,2.792119863484026,0.004975124378109453,0.00016666666666666666,0
finch,zero,lognormal,1.0,0,0.5,0.8278680496377656,0,-0.6025295220529621,56.9,0.5549275859143159,9.37,12588,30,0.4813085245661339,0.022822292721201825,15.185131892979324,0.004975124378109453,0.024666666666666667,0,0.6697038969493033,0.011553699762092615,13.689480940762778,0.004975124378109453,0.0,0,0.7792499460350135,0.013363320690462033,3.638175325497718,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,1,0.5,0.8595526986076346,0,-0.6830350853240099,54.13333333333333,0.601472393195116,9.906666666666666,12020,30,0.5123155657745841,0.023526643982456366,14.759314294549723,0.004975124378109453,0.02266666666666667,0,0.7280117354052967,0.008791660033369753,14.9620165819719,0.004975124378109453,0.0,0,0.8264089346389184,0.010974908767625906,3.0199580397865917,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,2,0.5,0.9020199525894715,0,-0.7720069333569498,53.9,0.6240106179498595,11.593333333333334,12325,30,0.5077798456486499,0.020511715246044393,19.220240833679153,0.004975124378109453,0.094,0,0.7880896298234625,0.006823747814846632,16.69615083343605,0.004975124378109453,0.0,0,0.8562927305177436,0.008162122737861292,5.602368837167205,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,3,0.5,0.8790597713875831,0,-0.7781348346897968,47.733333333333334,0.580676590142325,10.106666666666667,12189,30,0.697165772512411,0.014816368915895224,12.276557090856011,0.004975124378109453,0.0105,0,0.7636805770507737,0.008917180395510628,12.938977257306266,0.004975124378109453,0.0021666666666666666,0,0.8470185153309182,0.009959925409427329,3.2170176722746313,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,4,0.5,0.8907323895563661,0,-0.683036425771666,56.5,0.5788564511321143,10.37,12625,30,0.4929366873426401,0.02166624083804817,18.360162484447024,0.004975124378109453,0.07566666666666666,0,0.7289586277263673,0.009289891792286646,17.413955452561762,0.004975124378109453,0.0,0,0.8440791182653744,0.009019320875906366,5.172592474852323,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,5,0.5,0.8889785059340165,0,-0.8112278764833298,48.43333333333333,0.6525453471797827,11.45,12993,30,0.5826098638946017,0.019729776031204984,15.528237196147408,0.004975124378109453,0.021833333333333333,0,0.7813268653071204,0.007604569325548133,14.156178478803817,0.004975124378109453,0.0,0,0.8410023187604528,0.010216077172633922,4.696145728233021,0.004975124378109453,0.0,0
finch,zero,lognormal,1.0,6,0.5,0.8514196785457548,0,-0.712510924871971,55.13333333333333,0.6149540874950165,10.87,12758,30,0.6009501709101519,0.019344433744941558,12.947885212773368,0.004975124378109453,0.006166666666666667,0,0.7412506443262841,0.00876787957358599,12.565071554057916,0.004975124378109453,0.0,0,0.8161451936444014,0.011062778282547849,3.188573792263459,0.004975124378109453,0.0,0
