regime,law,mean_repeats,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
finch,zipf,1.0,0,15,,true,1.0,1.0,0.05,10,0.9099191070673855,2.0,1.5475075145100874,10.0,1.0,0.23,0.0,-2.5402150212607513,-1.3894713857573875,0.16468945618234487,False,2.1573863871312575,1.06908741527648,4.263256414560601e-14,
finch,zipf,1.0,0,16,,discovered,1.0,1.0,0.05,36,0.9437184704652528,1.0,1.8273200611738152,36.0,1.0,0.22,0.0,-0.8159852477695742,-0.7082079234921719,0.47881614638646586,False,-2.7840226391675236,2.0943103272212995,8.640199666842818e-12,
finch,zipf,1.0,0,16,,true,1.0,1.0,0.05,10,0.9118966611055027,3.0,1.6711161567893327,10.0,1.0,0.0,0.0,-3.23269019011417,-1.6092082851418539,0.10757080538047595,False,2.3987875836492716,0.7674956392852962,3.552713678800501e-14,
finch,zipf,1.0,0,17,,discovered,1.0,1.0,0.05,37,0.9323391405000578,1.0,1.8539076536812034,37.0,1.0,0.01,0.0,-1.183001457031367,-1.0090131309592243,0.31296833680242075,False,-2.669584856635423,2.0151908455488385,5.381650680646999e-11,
finch,zipf,1.0,0,17,,true,1.0,1.0,0.05,10,0.9838127003228354,5.0,2.049891537845393,10.0,1.0,0.35,0.0,-0.8763122636692755,-0.9202920934308663,0.3574201397139042,False,1.997634627485114,0.9290060728604712,7.887024366937112e-13,
finch,zipf,1.0,0,18,,discovered,1.0,1.0,0.05,35,0.9570607816545862,2.0,2.1210126795526034,19.0,0.5428571428571428,0.29,0.0,0.039540113490320716,0.1494608251427622,0.8811900191150528,False,-25.090142989828564,4.631119984024101,1.3189177394679064e-06,
finch,zipf,1.0,0,18,,true,1.0,1.0,0.05,10,0.9606224501873853,6.0,2.3384731745879037,10.0,1.0,0.72,0.0,-0.16529474533056643,-0.49997655288617615,0.6170915873803298,False,0.1305582349702793,1.4361175099679808,1.7918821981766087e-10,
finch,zipf,1.0,0,19,,discovered,1.0,1.0,0.05,33,0.9437517161900487,1.0,1.912462075314066,33.0,1.0,0.08,0.0,-0.47577887807568753,-0.5581932003593917,0.5767124635313905,False,-5.969321480183137,2.580623935197726,7.155520620472089e-10,
finch,zipf,1.0,0,19,,true,1.0,1.0,0.05,10,0.8994019474238185,2.0,1.530304891543741,10.0,1.0,0.03,0.0,-3.476568923522732,-1.7278573752496733,0.08401379788461934,False,2.3063973106711684,0.9297543893589861,2.7711166694643907e-13,
finch,zipf,1.0,0,20,,discovered,1.0,1.0,0.05,43,0.9513923391644469,1.0,1.93180000288809,43.0,1.0,0.35,0.0,-0.9554428778702277,-0.8427058944299864,0.3993929497682086,False,-2.8374087785925055,1.9374715715604605,1.800515292416094e-11,
