law,mean_repeats,rep,n_elements_total,true_word_types,true_r2,threshold,pipeline_r2,n_unit_types,n_units,boundary_f1,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,rotate_mean,rotate_sd,rotate_z,rotate_p,bigram_mean,bigram_sd,bigram_z,bigram_p
uniform,1.0,2,5707,100,0.7211765974654509,0.5,0.842393291830279,470,1332,0.6923982674847233,0.3398014787438143,0.04701333845652746,10.69040892620727,0.004975124378109453,0.7206957003946641,0.013325734433562757,9.132524142842152,0.004975124378109453,0.6933340777333126,0.0197439101626794,7.549629879228439,0.004975124378109453
uniform,1.0,2,5707,100,0.7211765974654509,0.75,0.8399318595221306,435,2149,0.6034990837816794,,,,,,,,,,,,
uniform,1.0,3,5480,100,0.7486486259544314,0.25,0.8016707156406665,425,810,0.7300969389892353,,,,,,,,,,,,
uniform,1.0,3,5480,100,0.7486486259544314,0.5,0.816906744425039,392,1425,0.7620134320081056,0.33252737336876753,0.049615050714594225,9.7627506992307,0.004975124378109453,0.7597718711964894,0.012655838708084868,4.514507062424113,0.009950248756218905,0.7329924251141005,0.015564720773416084,5.391315432671352,0.004975124378109453
uniform,1.0,3,5480,100,0.7486486259544314,0.75,0.7493580692133939,335,2070,0.6845456809104997,,,,,,,,,,,,
uniform,1.0,4,5864,100,0.7047966570851255,0.25,0.8018209345378762,474,749,0.6416561661831377,,,,,,,,,,,,
uniform,1.0,4,5864,100,0.7047966570851255,0.5,0.8198973633402971,499,1529,0.650084760136873,0.39277855464543016,0.04221894301358477,10.116757507582156,0.004975124378109453,0.7770473524207333,0.011437318495526209,3.7465084964036675,0.004975124378109453,0.7235718116370492,0.017913576054468135,5.377237432121859,0.004975124378109453
uniform,1.0,4,5864,100,0.7047966570851255,0.75,0.809304663545011,428,2195,0.6120225386709924,,,,,,,,,,,,
uniform,1.0,5,6112,100,0.7004354988187651,0.25,0.7920037623693994,445,754,0.6968853365526634,,,,,,,,,,,,
uniform,1.0,5,6112,100,0.7004354988187651,0.5,0.8219433918598845,470,1355,0.6932045015260685,0.31487375841962445,0.0491587057272024,10.314950850296057,0.004975124378109453,0.7029768558051098,0.013230982843070982,8.991511625840936,0.004975124378109453,0.6898262718071448,0.020203154736402607,6.539430191795115,0.004975124378109453
uniform,1.0,5,6112,100,0.7004354988187651,0.75,0.8214777208146384,450,2155,0.6074928557957621,,,,,,,,,,,,
uniform,1.0,6,5464,100,0.6727944091206008,0.25,0.8040839476774823,462,777,0.6930855197409975,,,,,,,,,,,,
uniform,1.0,6,5464,100,0.6727944091206008,0.5,0.807637209382363,438,1415,0.7270667745000321,0.3483607889554409,0.05049436212564074,9.09559802506554,0.004975124378109453,0.7724624297684062,0.011373215287318529,3.092773567135214,0.01990049751243781,0.7479266670184175,0.018129080095559885,3.293633325530383,0.004975124378109453
uniform,1.0,6,5464,100,0.6727944091206008,0.75,0.7820469820411434,371,2012,0.6815754539115658,,,,,,,,,,,,
uniform,1.0,7,5696,100,0.7914745117474032,0.25,0.8016559377904485,447,761,0.6824366366599183,,,,,,,,,,,,
