kind,config,sweep,policy,law,level,statistic,auc,lo,hi,r2_zipf,r2_law,cuts_zipf,cuts_law,share_zipf,share_law
finch,primary,base,skip,uniform,repeats=1,observed_mean_unit_types,0.15611111111111112,0.06554166666666668,0.25666666666666665,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,skip,lognormal,repeats=1,observed_mean_r2,0.6355555555555555,0.49333333333333335,0.77,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,base,skip,lognormal,repeats=1,shuffle_z,0.6411111111111111,0.49333333333333335,0.7833333333333333,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,base,skip,lognormal,repeats=1,rotate_z,0.5666666666666667,0.40994444444444444,0.7089166666666665,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,base,skip,lognormal,repeats=1,bigram_z,0.5966666666666667,0.45222222222222225,0.7388888888888889,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,base,skip,lognormal,repeats=1,observed_mean_slope,0.5922222222222222,0.44219444444444445,0.7311388888888888,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,base,skip,lognormal,repeats=1,observed_mean_unit_types,0.7,0.563875,0.8239027777777777,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,base,skip,geometric,repeats=1,observed_mean_r2,0.6311111111111111,0.4799722222222222,0.7688888888888888,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,skip,geometric,repeats=1,shuffle_z,0.6988888888888889,0.5577777777777778,0.8333888888888886,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,skip,geometric,repeats=1,rotate_z,0.6644444444444444,0.5233333333333333,0.8,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,skip,geometric,repeats=1,bigram_z,0.6711111111111111,0.5265833333333333,0.8111388888888887,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,skip,geometric,repeats=1,observed_mean_slope,0.6766666666666666,0.5355555555555556,0.8066666666666666,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,skip,geometric,repeats=1,observed_mean_unit_types,0.69,0.5511111111111111,0.8088888888888889,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,zero,uniform,repeats=1,observed_mean_r2,0.9855555555555555,0.9588888888888889,1.0,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,zero,uniform,repeats=1,shuffle_z,0.5588888888888889,0.4066388888888889,0.704472222222222,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,zero,uniform,repeats=1,rotate_z,0.5988888888888889,0.4533333333333333,0.7455833333333332,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,zero,uniform,repeats=1,bigram_z,0.3811111111111111,0.24108333333333334,0.5267222222222219,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,zero,uniform,repeats=1,observed_mean_slope,0.19444444444444445,0.09327777777777778,0.3111111111111111,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,zero,uniform,repeats=1,observed_mean_unit_types,0.15611111111111112,0.06552777777777778,0.2611666666666664,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.8333333333333334
finch,primary,base,zero,lognormal,repeats=1,observed_mean_r2,0.6355555555555555,0.49,0.7711111111111111,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.6333333333333333
finch,primary,base,zero,lognormal,repeats=1,shuffle_z,0.6122222222222222,0.4633333333333333,0.7477777777777778,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.6333333333333333
finch,primary,base,zero,lognormal,repeats=1,rotate_z,0.5622222222222222,0.41,0.7055833333333332,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.6333333333333333
